start;end;duration;jobs;njobs;days;ndays
250580203997;250580204222;225;9;1;1;1
250582298613;250582302982;4369;9;1;1;1
250582302982;250582318174;15192;9;1;1;1
250582318174;250582323584;5410;9;1;1;1
250582323584;250582328817;5233;9;1;1;1
250582328817;250582329600;783;9;1;1;1
250582329600;250582333649;4049;9;1;1;1
250582333649;250582333731;82;9;1;1;1
250582333731;250582333918;187;9;1;1;1
250582333918;250582334150;232;9;1;1;1
250582334150;250582340841;6691;9;1;1;1
250582340841;250582341088;247;9;1;1;1
250582341088;250582345417;4329;9;1;1;1
250582345417;250582347003;1586;9;1;1;1
250582347003;250582349378;2375;9;1;1;1
250582349378;250582349395;17;9;1;1;1
250582349395;250582349450;55;9;1;1;1
250582349450;250582350224;774;9;1;1;1
250582350224;250582350437;213;9;1;1;1
250582350437;250582350514;77;9;1;1;1
250582350514;250582352322;1808;9;1;1;1
250582352322;250582353320;998;9;1;1;1
250582353320;250582353394;74;9;1;1;1
250582353394;250582353857;463;9;1;1;1
250582353857;250582353998;141;9;1;1;1
250582353998;250582354053;55;9;1;1;1
250582354053;250582354408;355;9;1;1;1
250582354408;250582354555;147;9;1;1;1
250582354555;250582355901;1346;9;1;1;1
250582355901;250582356929;1028;9;1;1;1
250582356929;250582356995;66;9;1;1;1
250582356995;250582357084;89;9;1;1;1
250582357084;250582357650;566;9;1;1;1
250582357650;250582358450;800;9;1;1;1
250582358450;250582358778;328;9;1;1;1
250582358778;250582358816;38;9;1;1;1
250582358816;250582359124;308;9;1;1;1
250582359124;250582359691;567;9;1;1;1
250582359691;250582361816;2125;9;1;1;1
250582361816;250582362873;1057;9;1;1;1
250582362873;250582364367;1494;9;1;1;1
250582364367;250582372800;8433;9;1;1;1
250582372800;250582380241;7441;9;1;1;1
250582380241;250582381495;1254;9;1;1;1
250582381495;250582385268;3773;9;1;1;1
250582385268;250582385971;703;9;1;1;1
250582385971;250582386040;69;9;1;1;1
250582386040;250582386906;866;9;1;1;1
