start;end;duration;jobs;njobs;days;ndays
252236693634;252255228699;18535065;9;1;1;1
252255228699;252255231136;2437;9;1;1;1
252255231136;252255278761;47625;9;1;1;1
252255278761;252255279736;975;9;1;1;1
252255279736;252255288220;8484;9;1;1;1
252255288220;252255315514;27294;9;1;1;1
252255315514;252255358575;43061;9;1;1;1
252255358575;252255410776;52201;9;1;1;1
252255410776;252255414529;3753;9;1;1;1
252255414529;252255421097;6568;9;1;1;1
252255421097;252255509995;88898;9;1;1;1
252255509995;252255560560;50565;9;1;1;1
252255560560;252255602413;41853;9;1;1;1
252255602413;252255610856;8443;9;1;1;1
252255610856;252255612828;1972;9;1;1;1
252255612828;252255616602;3774;9;1;1;1
252255616602;252255658620;42018;9;1;1;1
252255658620;252255720101;61481;9;1;1;1
252255720101;252255755673;35572;9;1;1;1
252255755673;252255757936;2263;9;1;1;1
252255757936;252255771537;13601;9;1;1;1
252255771537;252255784701;13164;9;1;1;1
252255784701;252255785155;454;9;1;1;1
252255785155;252255786234;1079;9;1;1;1
252255786234;252255873103;86869;9;1;1;1
252255873103;252255916337;43234;9;1;1;1
252255916337;252255949665;33328;9;1;1;1
252255949665;252255988593;38928;9;1;1;1
252255988593;252255999839;11246;9;1;1;1
252255999839;252256031915;32076;9;1;1;1
252256031915;252256063402;31487;9;1;1;1
252256063402;252256108300;44898;9;1;1;1
252256108300;252256148254;39954;9;1;1;1
252256148254;252256191707;43453;9;1;1;1
252256191707;252256254776;63069;9;1;1;1
252256254776;252256299220;44444;9;1;1;1
252256299220;252256339286;40066;9;1;1;1
252256339286;252256379499;40213;9;1;1;1
252256379499;252256380582;1083;9;1;1;1
252256380582;252256383321;2739;9;1;1;1
252256383321;252256414416;31095;9;1;1;1
252256414416;252256426422;12006;9;1;1;1
252256426422;252256442670;16248;9;1;1;1
252256442670;252256492188;49518;9;1;1;1
252256492188;252256499184;6996;9;1;1;1
252256499184;252256499630;446;9;1;1;1
252256499630;252256549871;50241;9;1;1;1
252256549871;252256587855;37984;9;1;1;1
252256587855;252256634169;46314;9;1;1;1
252256634169;252256656278;22109;9;1;1;1
252256656278;252256704259;47981;9;1;1;1
252256704259;252256736862;32603;9;1;1;1
252256736862;252256767507;30645;9;1;1;1
252256767507;252256769267;1760;9;1;1;1
252256769267;252256776123;6856;9;1;1;1
252256776123;252256796579;20456;9;1;1;1
252256796579;252256937314;140735;9;1;1;1
252256937314;252256977013;39699;9;1;1;1
252256977013;252257030063;53050;9;1;1;1
252257030063;252257070786;40723;9;1;1;1
252257070786;252257071082;296;9;1;1;1
252257071082;252257078351;7269;9;1;1;1
252257078351;252257081451;3100;9;1;1;1
252257081451;252257089463;8012;9;1;1;1
252257089463;252257101352;11889;9;1;1;1
252257101352;252257139572;38220;9;1;1;1
252257139572;252257145252;5680;9;1;1;1
252257145252;252257184485;39233;9;1;1;1
252257184485;252257186260;1775;9;1;1;1
252257186260;252257193525;7265;9;1;1;1
252257193525;252257222977;29452;9;1;1;1
252257222977;252257263168;40191;9;1;1;1
252257263168;252257311395;48227;9;1;1;1
252257311395;252257361884;50489;9;1;1;1
252257361884;252257396114;34230;9;1;1;1
252257396114;252257432803;36689;9;1;1;1
252257432803;252257441863;9060;9;1;1;1
252257441863;252257442696;833;9;1;1;1
252257442696;252257485130;42434;9;1;1;1
252257485130;252257486571;1441;9;1;1;1
252257486571;252257513796;27225;9;1;1;1
252257513796;252257557794;43998;9;1;1;1
252257557794;252257563295;5501;9;1;1;1
252257563295;252257569484;6189;9;1;1;1
252257569484;252257574790;5306;9;1;1;1
252257574790;252257598939;24149;9;1;1;1
252257598939;252257642863;43924;9;1;1;1
252257642863;252257706792;63929;9;1;1;1
252257706792;252257746187;39395;9;1;1;1
252257746187;252257755158;8971;9;1;1;1
252257755158;252257798195;43037;9;1;1;1
252257798195;252257800873;2678;9;1;1;1
252257800873;252257825259;24386;9;1;1;1
252257825259;252257833147;7888;9;1;1;1
252257833147;252257848926;15779;9;1;1;1
252257848926;252257865618;16692;9;1;1;1
252257865618;252257896185;30567;9;1;1;1
252257896185;252257940560;44375;9;1;1;1
252257940560;252258000074;59514;9;1;1;1
252258000074;252258007723;7649;9;1;1;1
252258007723;252258010559;2836;9;1;1;1
252258010559;252258016796;6237;9;1;1;1
252258016796;252258053944;37148;9;1;1;1
252258053944;252258097310;43366;9;1;1;1
252258097310;252258130813;33503;9;1;1;1
252258130813;252258170096;39283;9;1;1;1
252258170096;252258179399;9303;9;1;1;1
252258179399;252258179414;15;9;1;1;1
252258179414;252258179614;200;9;1;1;1
252258179614;252258180033;419;9;1;1;1
252258180033;252258210616;30583;9;1;1;1
252258210616;252258213962;3346;9;1;1;1
252258213962;252258219837;5875;9;1;1;1
252258219837;252258219936;99;9;1;1;1
252258219936;252258267870;47934;9;1;1;1
252258267870;252258273327;5457;9;1;1;1
252258273327;252258283394;10067;9;1;1;1
252258283394;252258283426;32;9;1;1;1
252258283426;252258338167;54741;9;1;1;1
252258338167;252258349162;10995;9;1;1;1
252258349162;252258384788;35626;9;1;1;1
252258384788;252258396964;12176;9;1;1;1
252258396964;252258397710;746;9;1;1;1
252258397710;252258414344;16634;9;1;1;1
252258414344;252258420233;5889;9;1;1;1
252258420233;252258441772;21539;9;1;1;1
252258441772;252258453228;11456;9;1;1;1
252258453228;252258465984;12756;9;1;1;1
252258465984;252258498836;32852;9;1;1;1
252258498836;252258540601;41765;9;1;1;1
252258540601;252258574029;33428;9;1;1;1
252258574029;252258637436;63407;9;1;1;1
252258637436;252258649114;11678;9;1;1;1
252258649114;252258693734;44620;9;1;1;1
252258693734;252258726623;32889;9;1;1;1
252258726623;252258766080;39457;9;1;1;1
252258766080;252258804838;38758;9;1;1;1
252258804838;252258837444;32606;9;1;1;1
252258837444;252258876583;39139;9;1;1;1
